а	and,but,oh well,while
австралийка	australian
австралийский	australian
австралия	australia
австралоид	australoid
австралопитек	australopith,australopithecine,australopithecus
австриец	austrian
австрийка	austrian
австрийский	austrian
австрия	austria
австрияк	austrian
австронезийский	austronesian
австронезия	austronesia
австрофашизм	austrofascism
автаркия	autarky
автоарфа	autoharp
автоассоциативный	autoassociative
автоаутентификация	self-authentication
автобан	motorway
автобиограф	autobiographer
автобиографический	autobiographical
автобиографичный	autobiographical
автоблокировка	automatic block
автобус	autobus,bus
автовладелец	car owner
автовокзал	bus station,bus terminal
автогамия	autogamy
автогамный	autogamic,autogamous
автогараж	motor-garage
автогенез	autogenesis
автогенератор	autogenerator
автогол	own goal
автогонщик	racing driver
автогравюра	autogravure
автограф	autograph,signature
автогудронатор	binder distributor,paver
автодело	automobile engineering
автодиагностика	self diagnostics
автодизайн	autodesign
автодополнение	autocomplete
автодром	autodrome
автодуальность	autodual,self-dual
автодуальный	self-dual
автожир	autogiro,autogyro,gyroplane
автоиндекс	autoindex
автокатализатор	autocatalyst
автокатастрофа	car crash
автокефалия	autocephaly
автокефальный	autocephalous
автокинез	autokinesia,autokinesis
автоклавировать	autoclave
автокод	autocode
автокодер	autocoder
автокодировщик	autoencoder
автокомпенсатор	automatic equalizer
автокомплит	autocomplete
автоконвекция	autoconvection
автократ	autocrat
автократический	autocratic,autocratical
автолавка	mobile shop,sales van
автолизат	autolysate
автомат	arcade machine,assault rifle,automaton,coin-op,payphone,phone booth,slot machine,state machine,vending machine
автоматизация	automation
автоматизировать	automate
автоматизм	automatism
автоматический	automatic,selffirer
автоматичность	automatism
автомашина	motor vehicle
автомеханик	auto mechanic,car mechanic,motor mechanic
автомобилизация	automobilization,motorization
автомобиль	car
автонимный	autonymous
автономный	autonomous,stand-alone
автопатрулируемый	autopatrolled,autoreviewer
автопилотирование	autopiloting,self-driving
автопоезд	road train
автопортрет	self-portrait
автопробег	rally
автор	author
авторегрессия	autoregression
авторизованный	authorized
авторизовать	authorize
авторинг	authoring
авторитаризм	authoritarianism
авторитарный	authoritarian
авторитет	authority,prestige
авторитетный	authoritative
авторский	authorial
авторство	autorship
авторучка	fountain pen
автосабмиттер	autosubmitter
автосамосвал	dump truck
автосервис	car service,service
автосигнализация	car alarm
автоскейлинг	autoscaling
автоскрипт	auto-script
автостоянка	car park,parking lot
автострада	highway
автотеизм	autotheism
автотипия	autotype
автотомия	autotomy
автотормоз	autobrake
автотранспорт	motor transport
автотрансформатор	autoformer,autotransformer
автотрасса	highway
автотрекинг	autotracking
автотроф	autotroph
автотюн	auto-tune
автофазирование	auto-phasing
автофикшен	autofiction
автофокусировка	autofocusing
автофургон	container truck,van
автохарп	autoharp
автохлам	clunker
автохтонный	autochthonous
автоцистерна	tank truck
автоэкспресс	express bus
автоэмиссия	autoelectronic emission,autoemission,field emission,tunnel emission
автоэнкодер	autoencoder
авункулат	avunculate
ага	a-ha,cane toad,uh-huh,yeah,yep,yup
агава	agave
агаев	agayev
агалит	agalite
агамия	agamy
агаммаглобулинемия	agammaglobulinaemia
агамонт	agamont
агарь	hagar
агат	agate
агатовый	agathic
агафия	agatha
агафон	agatho
агафья	agatha
аггел	demon
агглютинабельный	agglutinable
агглютинативный	agglutinative
агглютинация	agglutination
агглютинин	agglutinin
агглютинировать	agglutinate
агглютинирующий	agglutinative
аггравация	overreact
аггравировать	malinger
агенс	agent
агент	agent,factor,representative,secret agent,spy
агентив	agentive,agentive case
агентивный	agential,agentive
агентский	agential
агентство	agency
агиографический	hagiographic,hagiographical
агиография	hagiography
агиологический	hagiological
агиология	hagiology,sanctilogy
агиофобия	hagiophobia
агитатор	agitator,propagandist
агитация	agitation
агитирование	agitation
агитировать	agitate,campaign
агитпроп	agitprop
аглая	aglaea,aglaia
агломерация	agglomeration
агломерирование	agglomeration
агломерировать	agglomerate
аглопорит	aggloporite
аглоруда	sintering ore
аглофабрика	agglofactory
агнат	agnate
агнесса	agnessa
агнета	agnes
агнец	lamb
агнозия	agnosia
агноним	agnonym
агностик	agnostic
агностицизм	agnosticism
агностически	agnostically
агностический	agnostic
агонизировать	agonize,collapse
агонист	agonist,prime mover
агония	agony
агора	agora
агорафобия	agoraphobia
агорот	agorot
агранулоцит	agranulocyte
агранулоцитоз	agranulocytosis
аграрий	landowner
аграрный	agrarian,agricultural
аграфа	agraffe,agrapha
аграфена	agraphena
агрегат	aggregate,aggregation,outfit,plant,set,unit
агрегация	aggregation
агрегирование	aggregation
агрегировать	aggregate
агрессивно	aggressively
агрессивность	aggressiveness,bellicosity
агрессивный	aggressive
агрессия	aggression
агрессор	aggressor
агрикультура	agriculture
агрипния	agrypnia
агробактерия	agrobacterium
агробизнес	agribusiness
агробиологический	agrobiological
агрокультура	agriculture
агрокультурный	agricultural
агромания	agromania
агромелиорация	soil-conservation
агрометр	agrometer
агроном	agronomist
агрономический	agricultural,agronomical
агрономия	agronomics,agronomy
агрономша	agronomist
агротехник	agriculturist,agrotechnician
агротехника	agrotechnology
агротехнический	agrotechnical
агрофизика	agricultural physics,agrophysics
агрофизический	agrophysical
агрохимик	agrochemist
агуаскальентес	aguascalientes,aguascalientes city
агузаров	aguzarov
агульский	agul
агути	agouti
ад	hades,hell,inferno
ада	ada
адад	adad
адаев	adayev
адажио	adagio
адам	adam
адамант	adamant,diamond
адамантан	adamantane
адамантовый	adamantine
адамит	adamite
адамсит	adamsite
адаптация	adaptation
адаптер	adapter,adaptor
адаптивный	adaptive
адаптированный	adapted
адаптировать	adapt
адаптироваться	adapt
адаптируемость	adaptability
адвалорный	ad valorem
адвекция	advection
адвентист	adventist
адвентистка	adventist
адвентистский	adventist
адвербиал	adverbial
адвербиализация	adverbialization
адвербиальность	adverbiality
адвербиальный	adverbial
адвокат	advocate,attorney,barrister,defense attorney,lawyer,solicitor
адвокатура	advocacy
адгезив	adhesive
адгезивный	adhesive
адгезиметр	adhesiometer,adhesivemeter
адгезиометр	adhesiometer,adhesivemeter
адгезия	adhesion
адгерент	adherent
аддисон	addison
аддитивность	additivity
аддитивный	additive
аддуктор	adductor
адекватив	adequative
адекватно	adequately
адекватность	adequacy,adequateness
адекватный	adequate,appropriate,commensurate,judicious,normal,proportionate,sensible
аделаида	adelaida,adelaide
аделина	adeline
аденин	adenine
аденозинтрифосфат	adenosine triphosphate,atp
аденозинтрифосфорный	adenosinetriphosphoric
аденоид	adenoid
аденокарцинома	adenocarcinoma
аденома	adenoma
аденомиоз	adenomyosis
аденомиозит	adenomyositis
аденопатия	adenopathy
аденосаркома	adenosarcoma
аденотомия	adenotomy
аденотонзиллэктомия	adenotonsillectomy
аденофора	adenophora
адентия	adentia
адепт	adept,disciple
адессив	adessive
аджа	adja,aja,ajja
аджапсандали	ajapsandal,ajapsandali
аджарец	adjar,adzhar,ajar,ajarian
аджария	adjaria
аджарский	adjarian
адиабата	adiabat
адиабатический	adiabatic
адиабатный	adiabatic
адианоэта	adianoeta
адипозогенитальный	adipogenital
адипоцир	adipocere
адлер	adler
админ	admin,sysop
административный	administrative
администратор	administrator,manager
администраторша	administratrix
администрация	administration,management
администрирование	administration
администрировать	administer,run
адмирал	admiral
адмиралтейство	admiralty
адмирация	admiration
адмиттанс	admittance
адогматический	adogmatic
адольф	adolf,adolph
адонис	adonis
адоральный	adoral
адоратер	adorer
адреналин	adrenaline,epinephrine
адреналовый	adrenal
адренергический	adrenergic
адренокортикотропин	adrenocorticotropic hormone,adrenocorticotropin
адренокортикотропный	adrenocorticotrophic,adrenocorticotropic
адренолитический	adrenolytic
адреномиметический	adrenomimetic,sympathomimetic
адресант	addressant
адресат	addressee,recipient
адресатка	addressee,recipient
адресный	address
адресованный	adressed
адресовать	address
адресок	address
адресуемость	addressability
адрон	hadron
адронный	hadron,hadronic
адский	awful,diabolical,frightful,hellish,infernal,terrible
адсорбент	adsorbent
адсорбировать	adsorb
адсорбироваться	adsorb
адсорбируемый	adsorbing
адсорбция	adsorption
адстрат	adstrate,adstratum
адъективный	adjective
адъюнкт	adjunct,assistant
адъютант	adjutant
адыгеец	adygei
адыгейск	adygeysk
адыгейский	adyghe
адыча	adycha
адэкватный	adequate,appropriate
адюльтер	adultery
ажиотаж	agitation,pother,stir
ажиотажный	feverish
ажитация	agitation
ажитированный	agitated
ажур	open-work
азазель	azazel
азалия	azalea
азан	azan
азарт	excitement,gambling,passion
азартно	hazardously
азбест	asbestos
азбука	alphabet,the abc
азеотропный	azeotropic
азер	azerbaijani person,azeri
азербайджан	azerbaijan
азербайджанец	azerbaijani,azeri
азербайджанка	azerbaijani
азербайджанский	azerbaijani,azeri
азеркин	otherkin
азиат	asian,barbarian
азиатский	asian,asiatic
азизов	azizov
азик	azerbaijani,azeri
азимут	azimuth
азия	asia
азовский	azov
азокраситель	azo dye
азосочетание	azocoupling
азот	azote,nitrogen
азотемия	azotemia
азотизация	nitriding
азотировать	azotize,nitride,nitrogenize
азотный	nitric,nitrogenic,nitrogenous
азотобактер	azotobacter
азотометр	nitrometer tube
азотфиксатор	nitrogen fixer
азы	abc,elements
аид	hades,hell
аир	calamus
аист	stork
аистёнок	stork
айбиэмер	ibmer
айва	quince
айвори	ivory
айдате	come along,come on,get going
айкидо	aikido
аймарский	aymaran
айнский	ainu
айова	iowa
айпад	ipad
айпод	ipod
айран	airan,ayran
айсберг	iceberg
айсин	aysin
айсинг	royal icing
айтрекинг	eye tracking
айяуаска	ayahuasca
академ	akademos
академик	academician
академический	academic,academical
академично	academically
академия	academy,college
академка	sabbatical,sabbatical leave
акайрия	acairia
акалькулия	acalculia
акант	acanthus
акариаз	acariasis
акарология	acarology
акарпный	acarpous
акафист	acathistus
акация	acacia
аквавит	akvavit,aquavit
аквазорб	water ball,zorb
акваланг	aqua-lung,aqualung,scuba,scuba set
аквалангист	frogman,scuba diver
аквамарин	aquamarine
аквапарк	aquapark,water park
аквапланирование	aquaplaning,hydroplaning
акварелист	watercolorist,watercolourist
акварель	water-colour,watercolor
аквариум	aquarium,fish bowl,fish tank
аквариумист	aquarian,aquarist
аквариумистика	fishkeeping
аквариумный	aquarian
акватеррариум	aquaterrarium
акватория	water area
акведук	aqueduct
аквизиция	acquisition,takeover
аквилегия	aquilegia,columbine
аквитанский	aquitanian
акишин	akhishin
аккад	akkad
аккадский	akkadian
акклиматизация	acclimatisation,acclimatization
аккомодационный	accommodative
аккомодация	accommodation,adjustment
аккомпанемент	accompaniment
аккомпаниатор	accompanist
аккомпаниаторша	accompanist
аккомпанировать	accompany
аккорд	agreement,chord
аккордеон	accordion,piano accordion
аккордеонист	accordion player,accordionist
аккордеонистка	female accordionist
аккордный	chord
аккра	accra
аккредитация	accreditation
аккредитование	accreditation
аккредитованный	accredited
аккредитовать	accredit
аккула	shark
аккумулирование	accumulation
аккумулировать	accumulate
аккумуляция	accumulation
аккурат	exactly,precisely
аккуратно	carefully,cautiously,neatly,prudently,smartly
аккуратность	accuracy,exactness,punctuality,thoroughness
аккуратный	accurate,exact,punctual
аклинальный	aclinic
акмеизм	acmeism
аколит	acolyte
акомпанировать	accompany
аконит	aconitum,monkshood,wolfsbane
аконитин	aconitine
аконитовый	aconitic
акр	acre
акредитовать	accredit
акрида	acrida
акрил	acrylic
акриловый	acrylic
акритарха	acritarch
акрихин	acrichine
акробатика	acrobatics
акробатически	acrobatically
акробатический	acrobatic
акрокарпный	acrocarpous
акроним	acronym,initialism
акрополь	acropolis,akropolis
акростих	acrostic
акроцефалосиндактилия	acrocephalosyndactyly
аксамит	velvet
акселерат	overgrown teenager
акселерация	early development
акселерограф	accelerograph,recording accelerometer
аксессуар	accessory
аксиальный	axial
аксиллярный	axillary
аксиолог	axiologist
аксиологический	axiological
аксиома	axiom
аксиоматизация	axiomatization
аксиоматика	axiomatics
аксиоматический	axiomatic
аксиоматичный	axiomatic,axiomatical
аксон	axon
аксум	aksum,axum
аксумит	aksumite,axumite
аксумитъ	aksumite,axumite
аксёненко	aksenenko,aksyonenko
акт	act
актант	actant,argumant
актер	actor
актив	activists,assets,functionaries
активация	activation
активизированный	activated
активизировать	activate,enable
активировать	activize
активно	actively
активность	activity
активный	active
актин	actin
актинизм	actinism
актинический	actinic
актиния	actinia,sea anemone
актинограф	actinograph
актиноид	actinide
актинометр	actinomere,actinometer
актирование	enact
актор	actor
актуализация	actualization
актуализм	actualism
актуально	actually,relevant
актуальный	relevant
актуарий	actuary
актуатор	actuator
актёр	actor
акула	shark
акулина	akulina
акупрессура	acupressure
акупунктура	acupuncture
акустика	acoustics
акустический	acoustic,acoustical
акут	acute accent
акушер	accoucheur,obstetrician
акушерка	midwife
акцент	accent
акцентирование	accentuation,emphasis,highlight
акцентировка	emphasis
акцентология	accentology
акцентуализация	accentualization
акцентуация	accentuation
акцепт	acceptance
акцептант	acceptor
акцептировать	accept,honour
акцептовать	accept
акцептор	acceptor
акцессия	accession
акцессорный	accessory
акциз	excise,excise duty,excise tax
акционер	shareholder,stockholder,stockowner
акционерный	stock
акционерство	shareholdership
акция	action,share,special offer
акын	akyn
алабин	alabin
аламыс	alamys
аландец	alander
алания	alania
алас	alas
албанец	albanian
албания	albania
албанка	albanian
албанский	albanian
алгебра	algebra
алгебраист	algebraist
алгебраистка	algebraist
алгебраический	algebraic,algebraical
алголагния	algolagnia
алгоритм	algorithm
алгоритмизация	algorithmization
алгоритмика	algorithmics
алгоритмический	algorithmic
алгорифм	algorithm
але	although,but,come on
алеаторный	aleatory
алебарда	halbard,halberd,halbert,swiss voulge
алебардист	halberdier
алебастр	alabaster
алевтина	alevtina
алейрон	aleurone
александр	alexander
александра	aleksandra,alexandra
александренков	aleksandrenkov
александрийский	alexandrian
александрина	alexandrina
александрит	alexandrite
александров	alexandrov
александрович	alexandrovich
алексей	aleksey,alex,alexey,alexis
алерион	alerion
алеся	alesia
алетиометр	alethiometer
алетический	alethic
алеть	crimson
алеут	aleut,aleutian
алеутка	aleut,aleutian
алеутский	aleut,aleutian
алешкевич	aleshkevich
алея	crimsoning
алжир	algeria,algiers
алжирец	algerian
алжирка	algerian
али	ali
алиби	alibi
алиенация	alienation
алиенировать	alienate
алиенист	alienist
ализарин	alizarin
аликанте	alicante
алимгулов	alimgulov
алиментарный	alimentary
алиментщик	alimony dodger,alimony payer,deadbeat dad
алименты	alimony,maintenance
алина	alina
алипов	alipov
алиса	alice
алисон	alison
алихна	alychne
алкализация	alkalization
алкалоид	alkaloid
алкалоидный	alkaloid,alkaloidal
алкалоидоносный	alkaloid-bearing
алкан	alkane
алканол	alkanol
алкать	to crave,to hunger,to long
алкаш	alkie,boozer,drunk,drunkard,lush
алкашка	alcoholic
алкен	alkene
алкил	alkyl
алкин	alkyne
алкмеон	alcmaeon
алкоголиз	alcoholysis
алкоголизм	alcoholism
алкоголик	alcoholic
алкоголичка	alchogolic,wife beater
алкоголь	alcohol,alcohol beverage
алкогольный	alcoholic
алкотестер	breathalyzer
алла	alla
аллантоис	allantois
аллегорический	allegoric,allegorical
аллегория	allegory
аллелопатия	allelopathy
аллель	allele
аллен	allen
аллерген	allergen
аллергенный	allergenic,antigenic,immunogenic
аллергический	allergic
аллергичный	allergic
аллергия	allergy
аллергодерматит	allergic dermatitis,allergodermia
аллерголог	allergist,allergologist
аллергология	allergology
аллергостатус	allergic state
аллергочувствительный	allergy-predisposed,allergy-prone
аллея	alley,alleyway
аллигатор	alligator
аллитерационный	alliterational,alliterative
аллитерация	alliteration
аллоген	allogene
аллогенный	allogenic
аллограф	allograph
аллодетерминанта	allodeterminant
аллоиммунизация	allogenic immunization
аллоиммунитет	alloimmunity
аллоксан	alloxan
аллометрия	allometry
алломорф	allomorph
алломорфоз	allomorphosis
аллонж	allonge
аллопатия	allopathy
аллопластика	alloplasty
аллостерия	allostery
аллотрансплантация	allotransplantation
аллотриофагия	allotriophagy
аллотропия	allotropism,allotropy
аллотропный	allotropic
аллофан	allophane
аллофон	allophone
аллофона	allophone
аллоэротизм	alloeroticism,alloerotism,heteroerotism
аллу	alloue,allu
аллювиальный	alluvial
аллюзия	allusion
алмаз	diamond,glasscutter
ало	red,scarlet
алогический	alogical,illogical,inconsequent
алогичность	illogicalness
алогичный	alogical
алоиза	aloisa
алопеция	alopecia,atrichia,baldness,calvities,defluxion,effluvium
алоэ	aloe
алпразолам	alprazolam
алтаец	altai,altaian,altaic
алтаистика	altaistics
алтай	altai,altay
алтайский	altai,altaian,altaic
алтарник	altar boy,altar server,altar warden
алтарь	altar,chancel,sanctuary
алтей	althaea
алтухов	altukhov
алтынай	altynai
алуне	alune,sapalewa
алушта	alushta
алфабетизация	alphabetization
алфавит	alphabet
алфавитизация	alphabetization
алфавитный	alphabetic,alphabetical
алфёров	alfyorov
алхимик	alchemist
алхимически	alchemically
алхимический	alchemic,alchemical
алхимия	alchemy
алчность	avarice,avidity,covetousness,cupidity,greed,greediness
алчный	avid,grasping,greedy
алый	crimson,scarlet,vermilion
алыча	alycha,cherry plum
альбаака	basil,sweet basil
альбатрос	albatross
альбедо	albedo
альбигоец	albigeois,cathar
альбигойский	albigensian
альбина	albina
альбинизм	albinism
альбинос	albino
альбион	albion
альбо	either
альбом	album
альбумин	albumen,albumin
альвеола	alveolus
альвеолярный	alveolar
альвина	alvina
альгинат	alginate
альгицид	algicide
альгодисменорея	algodismenorrhea
альгоменорея	algomenorrhea
альдегид	aldehyde
альдона	aldona
альков	alcove
альковный	alcove,bedroom
альманах	almanac,literary miscellany
альметьевск	almetyevsk
альмукантарат	almucantar,almucantarat
альпага	alpaca
альпака	alpaca
альпари	at par
альпеншток	alpenstock
альпинарий	rock garden
альпинизм	alpinism,climbing,mountaineering,rock climbing
альпинист	alpinist,mountain climber,mountaineer
альпы	alps
альсекко	fresco-secco
альстромерия	alstroemeria
альт	alto
альтаир	altair
альтерация	alteration
альтернат	alternate
альтернатива	alternative,option
альтернативный	alternate,alternative
альтернатор	ac generator
альтитуда	altitude
альтруист	altruist
альтруистически	altruistically
альтруистический	altruistic,unselfish
альтруистка	altruist
альфа	alpha
альфонс	alfons,alphons,fancy man
альянс	alliance
алюминиевый	aluminic,aluminium
алюминий	aluminium,aluminum
алюмогель	alumogel
алюмогидрид	aluminium hydride
алюмосиликат	aluminosilicate
алюторский	alyutor
аляповатый	clumsy,crudely constructed,tasteless
аляска	alaska
алёна	alena
алёша	alyosha
амавротический	amaurotic
амазонка	amazon,riding-habit
амаксофобия	amaxophobia
амальгама	amalgam
амариллис	amaryllis,belladonna lily
аматус	amathus
аматэрасу	amaterasu
аматёр	amateur,dilettante,enthusiast
аматёрка	amateur
амбазония	ambazonia
амбар	barn,garner
амбарчик	ambarchik
амбассадор	ambassador
амбивалентность	ambivalence,ambivalency
амбивалентный	ambivalent
амбиверсия	ambiversion
амбиверт	ambivert
амбиграмма	ambigram
амбидекстр	ambidexter
амбидекстрия	ambidexterity,ambidextrism
амбиполярность	ambipolarity
амбиполярный	ambipolar
амбисинистрия	ambisinstria
амбистома	ambystoma,mole salamander
амбитендентность	ambitendency
амбициозный	ambitious,high-flying
амбиция	ambition
амблинойя	amblynoia,amblyothymia
амблиопия	amblyopia
амборелловые	amborella family,amborellaceae
амбоцептор	amboceptor
амбразура	crenel,crenelle,embrasure,gun-port,loophole,port
амброзия	ambrosia
амбулакральный	ambulacral
амбулатория	ambulatory,clinic
амвон	ambo,ambon
амвросьев	amvrosyev
амели	amelie
амелиорация	amelioration
амелия	amelia
аменабельность	amenability
аменция	amentia
америка	america
американец	american
американизация	americanisation,americanization
американизировать	americanise,americanize
американизм	americanism
американистика	american studies,americanology
американка	american,american woman
американский	american
америций	americium
аметист	amethyst
аметистовый	amethyst
амигдала	amygdala
амигдалин	amygdalin
амигдалярный	amygdalar
амидофосфат	phosphoramidate
амикрон	amicron
аминазин	aminazine
аминобензойный	benzaminic
аминов	aminov
аминогруппа	amino group
аминосоединение	amino compound
аминь	amen
амиров	amirov
амиш	amish
аммиак	ammonia,azane
аммонал	ammonal
аммонизировать	ammonate,ammoniate
аммоний	ammonium
аммотол	amatol
аммофос	ammophos
амнезиак	amnesiac,amnestic
амнезия	amnesia
амнистировать	amnesty
амнистия	amnesty
амогус	amogus
аморалия	amorality
амортизатор	shock absorber
амортизировать	amortize,pay off
аморфизм	amorphism
аморфный	amorphic,amorphous,uncrystalline
ампер	amp,ampere
